Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity
"(660, 670]",0.648525388,0.653694132,0.752030578,0.719899666,0.645820622,0.715137957,0.696029083
"(670, 680]",0.555826724,0.697376449,0.696788111,0.746923937,0.564609304,0.691192865,0.675306577
"(680, 690]",0.66442953,0.622025625,0.592521572,0.663600892,0.515253203,0.779642058,0.68344519
"(690, 700]",0.656430526,0.729705078,0.70592451,0.726789709,0.623897841,0.824228911,0.623745819
"(700, 710]",0.627821843,0.72147651,0.556088207,0.651565996,0.590909091,0.803504847,0.658277405
"(710, 720]",0.707813925,0.651869869,0.666985189,0.705964326,0.634228188,0.815063386,0.590324385
"(720, 730]",0.707748627,0.657718121,0.615532119,0.718400447,0.660991183,0.768487551,0.677257525
"(730, 740]",0.682733374,0.68242831,0.633029722,0.733780761,0.592129347,0.771066368,0.70106264
"(740, 750]",0.613560353,0.685314685,0.576923077,0.625975474,0.533862111,0.796420582,0.608221477
"(750, 760]",0.537217816,0.723917023,0.633509108,0.605704698,0.613256309,0.807878112,0.621794872
"(760, 770]",0.509151922,0.609823063,0.624880153,0.677852349,0.571690055,0.780014914,0.580536913
"(770, 780]",0.675585284,0.635147461,0.56187291,0.660535117,0.641549725,0.779642058,0.624720358
"(780, 790]",0.574435631,0.588163514,0.677133269,0.677572707,0.623289754,0.794871795,0.571348941
"(790, 800]",0.56528371,0.636973764,0.645254075,0.616610738,0.531116534,0.740119314,0.618847875
"(800, 810]",0.525995743,0.70173305,0.553511706,0.711817168,0.500610128,0.699105145,0.518736018
"(810, 820]",0.511897498,0.763270287,0.67114094,0.648210291,0.477348738,0.574879227,0.559643255
"(820, 830]",0.40543014,0.593349603,0.586049856,0.62360179,0.518608908,0.566368382,0.58836689
"(830, 840]",0.407114625,0.67528124,0.573578595,0.65245262,0.358771663,0.497584541,0.619843924
"(840, 850]",0.475594875,0.614399024,0.594918504,0.648489933,0.406955461,0.544369873,0.611577181
"(850, 860]",0.501672241,0.62298571,0.50621118,0.63238573,0.50152532,0.562266965,0.627516779
"(860, 870]",0.586943258,0.670530811,0.465004794,0.515100671,0.447856491,0.572649573,0.46599777
"(870, 880]",0.459121415,0.539963392,0.481303931,0.544463087,0.523184869,0.548098434,0.463087248
"(880, 890]",0.387655822,0.623593798,0.456521739,0.477424749,0.479865772,0.665920955,0.438478747
"(890, 900]",0.497864552,0.591214155,0.47075743,0.450503356,0.394040742,0.651430695,0.547101449
"(900, 910]",0.624466138,0.713849908,0.702061361,0.421979866,0.453935326,0.697240865,0.562360179
"(910, 920]",0.678929766,0.783216783,0.739369326,0.413600892,0.458206223,0.679343773,0.585850112
"(920, 930]",0.61561928,0.685478951,0.757430489,0.317114094,0.572210398,0.600520253,0.545707915
"(930, 940]",0.512507627,0.618364857,0.689357622,0.522371365,0.632092739,0.554436987,0.69966443
"(940, 950]",0.377622378,0.681058072,0.694218825,0.525919732,0.696156193,0.543251305,0.645134228
"(950, 960]",0.575350824,0.609517999,0.674017258,0.600950783,0.607479477,0.612783352,0.605908584
"(960, 970]",0.543319097,0.507931666,0.477708533,0.560123043,0.594874924,0.607009694,0.658836689
"(970, 980]",0.52812405,0.387959866,0.291686574,0.443143813,0.634228188,0.575622445,0.609531773
"(980, 990]",0.362416107,0.399023795,0.309204219,0.477348993,0.672240803,0.587248322,0.557885906
"(990, 1000]",0.355704698,0.359060403,0.317114094,0.468227425,0.596400244,0.433258762,0.575223714
"(1000, 1010]",0.355427182,0.315293402,0.377209747,0.45917226,0.526907875,0.426978818,0.60367893
"(1010, 1020]",0.20347773,0.408175717,0.324544583,0.438478747,0.45271507,0.435495899,0.56655481
"(1020, 1030]",0.260261478,0.288233506,0.304586718,0.477424749,0.465527761,0.42393736,0.515380313
"(1030, 1040]",0.365771812,0.246186699,0.288350911,0.467561521,0.494071146,0.542549238,0.481047938
"(1040, 1050]",0.336790726,0.141244661,0.325263663,0.344239374,0.528370958,0.465324385,0.492170022
"(1050, 1060]",0.23228945,0.093037397,0.252986144,0.391861761,0.515558267,0.587248322,0.372203579
"(1060, 1070]",0.334960342,0.118059793,0.249041227,0.293903803,0.528428094,0.483463397,0.493311037
"(1070, 1080]",0.283099451,0.172056132,0.316395014,0.270693512,0.514032947,0.338180462,0.500838926
"(1080, 1090]",0.345393737,0.167832168,0.262302914,0.187012263,0.588468578,0.468680089,0.508668904
"(1090, 1100]",0.303843807,0.122635754,0.206855225,0.328020134,0.555792034,0.464139725,0.50083612
"(1100, 1110]",0.263270287,0.097315436,0.232502397,0.402404922,0.53752288,0.398210291,0.491051454
"(1110, 1120]",0.163879599,0.03131651,0.267319637,0.176700111,0.460646736,0.292456336,0.464485459
"(1120, 1130]",0.160463697,0.022879805,0.2605465,0.17114094,0.379142597,0.381804623,0.460144928
"(1130, 1140]",0.074435631,0.003355705,0.17569511,0.276477146,0.482306284,0.296420582,0.449944072
"(1140, 1150]",0.204317422,0.004560657,0.188485428,0.232662192,0.488902402,0.307692308,0.367335563
"(1150, 1160]",0.307199512,0.028370958,0.229626079,0.356543624,0.539963392,0.294929157,0.368008949
"(1160, 1170]",0.193371846,0.087868653,0.220735786,0.164994426,0.530506406,0.226323639,0.282158837
"(1170, 1180]",0.15314216,0.062233069,0.230584851,0.165268456,0.392824567,0.371980676,0.421125975
"(1180, 1190]",0.224527151,0.012507627,0.156999041,0.236017897,0.474679683,0.434004474,0.525167785
