Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(470, 480]",0.691471572,0.633444816,0.726056552,0.553081147,0.705989663,0.727882855,0.684004474,0.737695749
"(480, 490]",0.599832215,0.793288591,0.748932276,0.658862876,0.563453325,0.771055032,0.765607581,0.787346711
"(490, 500]",0.661912752,0.710738255,0.751677852,0.646735815,0.573215375,0.725442343,0.656599553,0.766219239
"(500, 510]",0.686733556,0.679598662,0.694131955,0.715070165,0.509577379,0.646093037,0.7212932,0.705816555
"(510, 520]",0.705816555,0.723489933,0.685173887,0.658254789,0.605247102,0.643685174,0.751118568,0.717391304
"(520, 530]",0.650222965,0.625752508,0.636363636,0.71323978,0.672240803,0.75228798,0.672259508,0.686241611
"(530, 540]",0.656879195,0.559731544,0.524405125,0.660687139,0.628126907,0.67041654,0.681438127,0.70122631
"(540, 550]",0.655760626,0.628428094,0.629370629,0.643685174,0.653694132,0.600366077,0.614932886,0.656599553
"(550, 560]",0.716833891,0.496308725,0.683038438,0.636363636,0.558877364,0.593189419,0.624303233,0.694537347
"(560, 570]",0.701901566,0.51409396,0.715985357,0.619890177,0.511897498,0.558267236,0.672818792,0.647651007
"(570, 580]",0.679765886,0.572575251,0.622073579,0.554301403,0.643356643,0.660463697,0.714765101,0.667505593
"(580, 590]",0.70246085,0.483221477,0.58633313,0.54180602,0.626601586,0.605959258,0.686176143,0.746655518
"(590, 600]",0.706375839,0.46442953,0.600366077,0.632397804,0.608907871,0.628126907,0.633948546,0.680369128
"(600, 610]",0.574414716,0.440802676,0.659775008,0.667480171,0.556704165,0.536302624,0.655480984,0.698545861
"(610, 620]",0.579977629,0.537583893,0.626296522,0.539981757,0.6561928,0.559182428,0.628762542,0.631828317
"(620, 630]",0.673657718,0.515436242,0.622635754,0.54728493,0.442037828,0.593189419,0.657438479,0.674496644
"(630, 640]",0.581103679,0.491638796,0.547886896,0.563148261,0.446336272,0.564063453,0.696308725,0.680369128
"(640, 650]",0.505313199,0.504362416,0.611348383,0.581939799,0.630567419,0.542414108,0.637681159,0.564938685
"(650, 660]",0.564597315,0.337919463,0.602196461,0.541488713,0.598840757,0.577486272,0.604865772,0.587807606
"(660, 670]",0.575529543,0.429431438,0.652173913,0.558832472,0.638187899,0.507931666,0.581375839,0.614932886
"(670, 680]",0.486856823,0.41442953,0.555826724,0.525930445,0.467663209,0.526299787,0.640468227,0.640746934
"(680, 690]",0.466722595,0.380267559,0.556096078,0.465222697,0.521131043,0.590604027,0.545022371,0.502237136
"(690, 700]",0.366220736,0.366778523,0.512507627,0.531468531,0.553081147,0.631498936,0.590301003,0.510590858
"(700, 710]",0.517337808,0.369798658,0.513727883,0.481391092,0.582977425,0.56833435,0.629194631,0.5299217
"(710, 720]",0.543756968,0.355852843,0.570082092,0.499389872,0.553663728,0.481391092,0.621085011,0.459731544
"(720, 730]",0.545022371,0.368791946,0.567724222,0.522955306,0.52776083,0.462450593,0.611761427,0.531215162
"(730, 740]",0.439317673,0.268456376,0.524710189,0.456985967,0.396888347,0.472544234,0.584451902,0.526006711
"(740, 750]",0.341137124,0.264214047,0.509881423,0.489017694,0.331711766,0.4609518,0.488534676,0.529642058
"(750, 760]",0.36689038,0.281879195,0.440512508,0.473396169,0.39414277,0.420796595,0.604793757,0.481326644
"(760, 770]",0.453020134,0.244630872,0.399328859,0.482611348,0.47223917,0.413971934,0.464485459,0.492449664
"(770, 780]",0.41638796,0.322408027,0.474004257,0.415802318,0.454545455,0.431055522,0.568791946,0.51761745
"(780, 790]",0.360178971,0.226174497,0.439292251,0.430525996,0.434411226,0.464578899,0.498327759,0.420011148
"(790, 800]",0.445469799,0.224496644,0.465832825,0.465222697,0.433496034,0.3828554,0.50139821,0.356823266
"(800, 810]",0.4303233,0.214381271,0.416235938,0.392824567,0.38583156,0.341366687,0.510626398,0.441834452
"(810, 820]",0.378076063,0.225838926,0.401159243,0.387431361,0.333740085,0.346609912,0.500557414,0.34671126
"(820, 830]",0.316275168,0.201003344,0.357251444,0.463697376,0.334655278,0.435326419,0.42114094,0.438758389
"(830, 840]",0.338071349,0.174496644,0.313605857,0.440255397,0.326238978,0.461234418,0.416666667,0.447881828
"(840, 850]",0.321029083,0.233221477,0.380719951,0.354789506,0.362416107,0.339231239,0.426174497,0.418903803
"(850, 860]",0.292920847,0.152508361,0.284889024,0.343197071,0.484645789,0.457291031,0.42114094,0.378076063
"(860, 870]",0.314038031,0.17885906,0.320317267,0.372757677,0.406955461,0.461234418,0.418896321,0.454849498
"(870, 880]",0.269574944,0.213087248,0.253203173,0.395057962,0.377669311,0.339231239,0.483221477,0.317114094
"(880, 890]",0.297658863,0.211371237,0.324110672,0.388041489,0.450288842,0.409090909,0.468400447,0.442393736
"(890, 900]",0.349832215,0.187248322,0.230628432,0.356035269,0.326113484,0.391912435,0.365105909,0.392976589
"(900, 910]",0.300055928,0.23590604,0.282489323,0.391397193,0.351433801,0.360890787,0.528243848,0.435402685
"(910, 920]",0.315217391,0.29632107,0.31590149,0.399938987,0.456977805,0.368212325,0.548657718,0.478467562
"(920, 930]",0.31935123,0.277516779,0.344112264,0.337792642,0.50976205,0.521131043,0.566610925,0.49303233
"(930, 940]",0.311241611,0.295637584,0.277913362,0.267846248,0.598230628,0.622025625,0.449384787,0.489932886
"(940, 950]",0.304626533,0.26722408,0.328367285,0.252964427,0.559440559,0.545149481,0.411912752,0.464485459
"(950, 960]",0.28803132,0.238255034,0.342892007,0.183343502,0.553996339,0.37944664,0.437848384,0.475473802
"(960, 970]",0.254474273,0.325083612,0.392216479,0.175411836,0.497254423,0.431970714,0.47147651,0.379194631
"(970, 980]",0.312987737,0.246644295,0.172971324,0.476132563,0.331407723,0.329469189,0.404682274,0.317168339
"(980, 990]",0.307885906,0.259060403,0.212019524,0.276693106,0.396278218,0.390392216,0.33696868,0.395134228
"(990, 1000]",0.358138239,0.297993311,0.43812709,0.298962782,0.312557008,0.405735204,0.311241611,0.440715884
"(1000, 1010]",0.330536913,0.227516779,0.418547895,0.27090301,0.30628432,0.420796595,0.477703456,0.279542921
"(1010, 1020]",0.283557047,0.212751678,0.349298353,0.334045149,0.372483221,0.418852959,0.418344519,0.285794183
"(1020, 1030]",0.272017837,0.237458194,0.330799635,0.300183038,0.307388264,0.371873093,0.453299776,0.274049217
"(1030, 1040]",0.126118568,0.308053691,0.368517389,0.227424749,0.342586943,0.412283369,0.493311037,0.306020067
"(1040, 1050]",0.264261745,0.354026846,0.340146431,0.334350214,0.439902379,0.393532642,0.36549217,0.342281879
"(1050, 1060]",0.264492754,0.341471572,0.378838553,0.378279439,0.421404682,0.387431361,0.459731544,0.311800895
"(1060, 1070]",0.376118568,0.337919463,0.349908481,0.356339313,0.443258084,0.398601399,0.325529543,0.429208473
"(1070, 1080]",0.376957494,0.376845638,0.402074436,0.231543624,0.400549115,0.420988408,0.36689038,0.378635347
"(1080, 1090]",0.213489409,0.42541806,0.396777136,0.22300183,0.326238978,0.420378279,0.34647651,0.428411633
"(1090, 1100]",0.320190157,0.370805369,0.358755339,0.364852539,0.21018914,0.487078139,0.328595318,0.450668896
"(1100, 1110]",0.348713647,0.394966443,0.415802318,0.272727273,0.269981696,0.378889567,0.371364653,0.300894855
"(1110, 1120]",0.330546265,0.351505017,0.425965339,0.200668896,0.313773183,0.346247712,0.36845039,0.456935123
"(1120, 1130]",0.284116331,0.274832215,0.485661989,0.317266626,0.323672971,0.376710246,0.407997763,0.371237458
"(1130, 1140]",0.323545861,0.381270903,0.467619337,0.308419768,0.434174521,0.39414277,0.338926174,0.336409396
"(1140, 1150]",0.22826087,0.366778523,0.334045149,0.425661295,0.402684564,0.418668288,0.297658863,0.414437012
"(1150, 1160]",0.371644295,0.37852349,0.410921293,0.300488103,0.237339841,0.305369128,0.380872483,0.502237136
"(1160, 1170]",0.270624303,0.372575251,0.420492551,0.216595485,0.300091213,0.33709579,0.278243848,0.513422819
"(1170, 1180]",0.352348993,0.394295302,0.311470409,0.335968379,0.289200732,0.366676801,0.25,0.445930881
"(1180, 1190]",0.311800895,0.426845638,0.356009762,0.310250153,0.446308725,0.324283099,0.353187919,0.460290828
