Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(430, 440]",0.656802929,0.683892617,0.790548098,0.693105552,0.799077181,0.767337808,0.75613155,0.743995135,0.776948804
"(440, 450]",0.574740696,0.755369128,0.805183946,0.786150092,0.742030201,0.708333333,0.70106264,0.684868822,0.744966443
"(450, 460]",0.799635147,0.748829431,0.791107383,0.748859836,0.673076923,0.774804905,0.622909699,0.700820918,0.800102907
"(460, 470]",0.714154973,0.772818792,0.759228188,0.748627212,0.731963087,0.822427293,0.675055928,0.750457596,0.770263294
"(470, 480]",0.634539374,0.728762542,0.667781494,0.75899939,0.683305369,0.827201784,0.762304251,0.71995119,0.732576149
"(480, 490]",0.705308115,0.699328859,0.683724832,0.704469444,0.721153846,0.793624161,0.721014493,0.737002128,0.738101364
"(490, 500]",0.615924344,0.609395973,0.72147651,0.64643075,0.66442953,0.723713647,0.768736018,0.702562538,0.754259164
"(500, 510]",0.584068106,0.573578595,0.696209588,0.761439902,0.589882943,0.725752508,0.678929766,0.724536333,0.748580279
"(510, 520]",0.5976205,0.579530201,0.775727069,0.712374582,0.770973154,0.760626398,0.710290828,0.761134838,0.743761255
"(520, 530]",0.55305564,0.586622074,0.810758082,0.737644905,0.766722408,0.621237458,0.672259508,0.646125686,0.73980382
"(530, 540]",0.677547285,0.573825503,0.70106264,0.697476437,0.777684564,0.701621924,0.606187291,0.619033141,0.746848469
"(540, 550]",0.644295302,0.539597315,0.687848384,0.696766321,0.690436242,0.676700111,0.610458613,0.692800488,0.661073826
"(550, 560]",0.674369109,0.481605351,0.723434004,0.723624202,0.674749164,0.692673378,0.655518395,0.74916388,0.697453049
"(560, 570]",0.610433191,0.466442953,0.586129754,0.709579012,0.651426174,0.712807606,0.654082774,0.677852349,0.701600413
"(570, 580]",0.563697172,0.434448161,0.608974359,0.737034777,0.64632107,0.63238573,0.670861298,0.597925564,0.591894682
"(580, 590]",0.620195241,0.488926174,0.610738255,0.683186379,0.705536913,0.674776286,0.631828317,0.738218303,0.738101364
"(590, 600]",0.570774863,0.511409396,0.693512304,0.699511897,0.693372483,0.643736018,0.550055928,0.68090299,0.727929788
"(600, 610]",0.587412587,0.516722408,0.643812709,0.617449664,0.648411371,0.643534002,0.601789709,0.668700427,0.674238513
"(610, 620]",0.619585113,0.72147651,0.616610738,0.64548495,0.628355705,0.561800895,0.666946309,0.695044086,0.684075122
"(620, 630]",0.661073826,0.62852349,0.67533557,0.553996339,0.525167785,0.629194631,0.573021182,0.680292862,0.686628807
"(630, 640]",0.60291882,0.666889632,0.617056856,0.62690665,0.525501672,0.56187291,0.682326622,0.681818182,0.716055756
"(640, 650]",0.614704088,0.469798658,0.574944072,0.682882335,0.635486577,0.481263982,0.65245262,0.689571298,0.655775662
"(650, 660]",0.604026846,0.451342282,0.625559284,0.69066504,0.675755034,0.644574944,0.6901566,0.681818182,0.727155395
"(660, 670]",0.557312253,0.360869565,0.552118172,0.669504409,0.651755853,0.601170569,0.626118568,0.651311775,0.676561693
"(670, 680]",0.569859671,0.482214765,0.494127517,0.679072605,0.664848993,0.644574944,0.674470457,0.69534813,0.649601235
"(680, 690]",0.616839536,0.591946309,0.60451505,0.709884076,0.601510067,0.609810479,0.623322148,0.644600366,0.701084151
"(690, 700]",0.515962299,0.524080268,0.656599553,0.730617209,0.677675585,0.55704698,0.557134894,0.605655214,0.538204271
"(700, 710]",0.463087248,0.615436242,0.620246085,0.736729713,0.700083893,0.585850112,0.635626398,0.605247102,0.620030976
"(710, 720]",0.546670721,0.542809365,0.622352285,0.727882855,0.66722408,0.636008919,0.591722595,0.687614399,0.675271038
"(720, 730]",0.615924344,0.626510067,0.584731544,0.710550319,0.559144295,0.540268456,0.6106466,0.721799939,0.690506818
"(730, 740]",0.563453325,0.481879195,0.582494407,0.726357535,0.559144295,0.503635347,0.547818792,0.705003051,0.685854414
