Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.55959596,0.142255892,0.028772574,0.197072072,0.028716216,0.006142506,0.010067114,0.007321538,0.028243848
"(10, 20]",0.443624161,0.20917226,0.007321538,0.292319165,0.02852349,0.03081147,0.015253203,0.05033557,0.071868009
"(20, 30]",0.45,0.174217002,0.018303844,0.240865026,0.026845638,0.006406345,0.021659549,0.063453325,0.051454139
"(30, 40]",0.350501672,0.176142698,0.077835208,0.215533259,0.033110368,0.007297051,0.017026452,0.006384919,0.055183946
"(40, 50]",0.362416107,0.147930649,0.158938377,0.118568233,0.025167785,0.014338011,0.004881025,0.010067114,0.078299776
"(50, 60]",0.377257525,0.116331096,0.126601586,0.170940171,0.010738255,0.006993007,0.004270897,0.004575961,0.071029083
"(60, 70]",0.324496644,0.110089186,0.111280024,0.295302013,0.029431438,0.006711409,0,0.025843721,0.119007804
"(70, 80]",0.349328859,0.100671141,0.109517999,0.341909023,0.01442953,0.01799878,0.006406345,0.012812691,0.063478747
"(80, 90]",0.453511706,0.12458194,0.134995439,0.241174285,0.013377926,0.007905138,0.004864701,0.007601095,0.041387025
"(90, 100]",0.440939597,0.040268456,0.124466138,0.297912006,0.018120805,0.012507627,0.000610128,0.015558267,0.023968785
"(100, 110]",0.42852349,0.032997763,0.063148261,0.299776286,0.029194631,0.003965833,0.000915192,0.003660769,0.044742729
"(110, 120]",0.424080268,0.051003344,0.062328975,0.216648086,0.028093645,0.015202189,0,0.011553664,0.012820513
"(120, 130]",0.453355705,0.15352349,0.052776083,0.29082774,0.053691275,0.138499085,0.065893838,0.052165955,0.050894855
"(130, 140]",0.403355705,0.152404922,0.053081147,0.342654735,0.025167785,0.104942038,0.068639414,0.032946919,0.054530201
"(140, 150]",0.546153846,0.03400223,0.027059897,0.23894463,0.022408027,0.096381879,0.046822742,0.039829735,0.084169454
"(150, 160]",0.373154362,0.100391499,0.013117755,0.26808352,0.018120805,0.029896278,0.013727883,0.05552166,0.022930649
"(160, 170]",0.380201342,0.109899329,0.006101281,0.193512304,0.030536913,0.004575961,0.016168395,0.006406345,0.019295302
"(170, 180]",0.296989967,0.108416945,0.007601095,0.130434783,0.019732441,0.056856187,0.027972028,0.015202189,0.056298774
"(180, 190]",0.320469799,0.09787472,0.005796217,0.21290082,0.011409396,0.064368517,0.005491153,0.015863331,0.073825503
"(190, 200]",0.305033557,0.056208054,0.034472239,0.207729469,0.010067114,0.021659549,0.001220256,0.012507627,0.029362416
"(200, 210]",0.360535117,0.017001115,0.045910611,0.149142431,0.028428094,0.025843721,0,0.015810277,0.004738016
"(210, 220]",0.238590604,0.018176734,0.01128737,0.18158091,0.020134228,0.00823673,0.008570554,0.048200122,0.000838926
"(220, 230]",0.340468227,0.022575251,0,0.112597547,0.033444816,0.009729401,0,0.003050641,0
"(230, 240]",0.346979866,0.040268456,0.014948139,0.131245339,0.027516779,0.005491153,0,0.007601095,0.012541806
"(240, 250]",0.227516779,0.02712528,0.00823673,0.165548098,0.013087248,0.007321538,0.001830384,0.001220256,0.005872483
"(250, 260]",0.32909699,0.030657748,0.010641532,0.208472687,0.009364548,0.006384919,0.002128306,0.00243235,0.002787068
"(260, 270]",0.390939597,0.017058166,0.014338011,0.159209545,0.017785235,0.005491153,0,0.001220256,0.001118568
"(270, 280]",0.243288591,0.003076063,0.014338011,0.128262491,0.009731544,0.002745577,0,0.004270897,0
"(280, 290]",0.296989967,0.002787068,0.011553664,0.173169825,0.008361204,0.00243235,0.000304044,0.004560657,0.000557414
"(290, 300]",0.302013423,0.001957494,0.014948139,0.179716629,0.011073826,0.005796217,0,0.002745577,0.000279642
"(300, 310]",0.218791946,0.004474273,0.006406345,0.175242356,0.005704698,0.002440513,0,0.003965833,0.001957494
"(310, 320]",0.23812709,0.000557414,0.032228641,0.120401338,0.006354515,0.010641532,0,0.003648525,0.000557414
"(320, 330]",0.234228188,0.009228188,0.00823673,0.08463833,0.01409396,0.004881025,0,0.001830384,0.023769575
"(330, 340]",0.244295302,0.003914989,0.005491153,0.190902312,0.02114094,0.006406345,0,0.008541794,0.000279642
"(340, 350]",0.340802676,0.004459309,0.013377926,0.147157191,0.011036789,0.023411371,0.000912131,0.010033445,0.006410256
"(350, 360]",0.275503356,0.001957494,0.010372178,0.095451156,0.01442953,0.04881025,0,0.00823673,0.002796421
"(360, 370]",0.311371237,0.005295429,0.007297051,0.06391676,0.006688963,0.014898145,0,0.011592434,0.002237136
"(370, 380]",0.265100671,0.001118568,0.008541794,0.22147651,0.001006711,0.020134228,0,0.009121313,0.001114827
"(380, 390]",0.306040268,0.003355705,0.010982306,0.16256525,0,0.004881025,0.000610128,0.010372178,0
"(390, 400]",0.365551839,0.004180602,0,0.111111111,0.001003344,0.006384919,0,0.007905138,0
"(400, 410]",0.326510067,0.003076063,0.006406345,0.163683818,0.006040268,0.012812691,0,0.001220256,0.000279642
"(410, 420]",0.188255034,0.005033557,0.004270897,0.113348248,0.005369128,0.072605247,0,0.002135448,0
