Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.222502806,0.033670034,0.147774037,0.101658477,0.008445946,0.102272727,0.090298963,0.062538133,0.04104285
"(10, 20]",0.2200783,0.016442953,0.139821029,0.086943258,0.011409396,0.078706528,0.102501525,0.142159854,0.030975736
"(20, 30]",0.234060403,0.020134228,0.111483967,0.053996339,0.004697987,0.159853569,0.123245882,0.115314216,0.028652555
"(30, 40]",0.287904125,0.031103679,0.037904125,0.157798723,0.003010033,0.091517178,0.168136212,0.067193676,0.06122974
"(40, 50]",0.358221477,0.11409396,0.010812826,0.127516779,0.001342282,0.073215375,0.222696766,0.083587553,0.045947341
"(50, 60]",0.326086957,0.059395973,0.051826995,0.254180602,0.010738255,0.036789298,0.270591824,0.1366687,0.026587506
"(60, 70]",0.285794183,0.149832776,0.017094017,0.264490543,0.01270903,0.076266016,0.219215567,0.03861356,0.045021868
"(70, 80]",0.34647651,0.034228188,0.016032811,0.218730933,0.069127517,0.036302624,0.220256254,0.15466748,0.069695405
"(80, 90]",0.334726867,0.02006689,0.040876997,0.173609,0.075585284,0.04499848,0.20097294,0.109151718,0.025554982
"(90, 100]",0.410794183,0.022483221,0.041014169,0.263575351,0.03590604,0.064368517,0.24923734,0.067724222,0.015693337
"(100, 110]",0.386465324,0.115100671,0.054436987,0.215070165,0.010402685,0.076876144,0.224832215,0.13514338,0.001290656
"(110, 120]",0.19425864,0.026755853,0.038647343,0.248707814,0.01638796,0.03374886,0.235025844,0.152325935,0.022896836
"(120, 130]",0.360178971,0.177181208,0.285607755,0.487492373,0.172483221,0.348993289,0.375533862,0.250152532,0.188693856
"(130, 140]",0.239932886,0.059395973,0.0398956,0.165344722,0.05033557,0.098840757,0.07504576,0.039353264,0.030717605
"(140, 150]",0.165551839,0.050501672,0.049052397,0.121921557,0.002341137,0.07874734,0.056552144,0.029188203,0.012348855
"(150, 160]",0.19155481,0.051342282,0.039149888,0.054301403,0.00033557,0.034777303,0.038133008,0.059182428,0.009292721
"(160, 170]",0.079977629,0.030536913,0.042132737,0.031726663,0.005704698,0.053691275,0.017693716,0.056131788,0.025813113
"(170, 180]",0.107023411,0.024749164,0.017837235,0.111584068,0.021404682,0.034660991,0.027667984,0.051687443,0.003344482
"(180, 190]",0.088087248,0.018456376,0.011558538,0.127211714,0.000671141,0.043624161,0.093349603,0.033557047,0.007227672
"(190, 200]",0.06795302,0.040939597,0.014914243,0.096381879,0.00704698,0.017693716,0.033251983,0.043624161,0.002839442
"(200, 210]",0.037068004,0.042474916,0.039390561,0.089078707,0.005016722,0.020979021,0.007601095,0.017330496,0.002572678
"(210, 220]",0.109619687,0.022147651,0.106636838,0.125686394,0.004362416,0.02104942,0.015610652,0.047895058,0.00232318
"(220, 230]",0.076365663,0.013377926,0.056112969,0.112800243,0.004013378,0.051383399,0.039658328,0.046369738,0.001032525
"(230, 240]",0.100111857,0.019463087,0.033557047,0.093349603,0.00738255,0.016168395,0.073882639,0.03618121,0.001029071
"(240, 250]",0.074105145,0.012080537,0.01043997,0.101891397,0.002684564,0.013422819,0.086028066,0.046674802,0.003355705
"(250, 260]",0.089464883,0.017391304,0.009290227,0.143508665,0.003344482,0.02006689,0.0562481,0.02493159,0.005402624
"(260, 270]",0.05844519,0.024496644,0.004474273,0.137888957,0.034563758,0.010067114,0.032946919,0.017388652,0.008776458
"(270, 280]",0.007550336,0.002348993,0.006338553,0.082367297,0.001342282,0.01128737,0.054606467,0.017083588,0.006195147
"(280, 290]",0.025919732,0.0090301,0.005945745,0.099726361,0,0.006384919,0.095469748,0.03861356,0.001800875
"(290, 300]",0.037751678,0.016442953,0.006338553,0.069554606,0.01409396,0.006101281,0.095790116,0.026845638,0.003097574
"(300, 310]",0.038590604,0.031543624,0.002609993,0.080841977,0.008389262,0.021659549,0.031116534,0.007321538,0.005162623
"(310, 320]",0.019788183,0.014381271,0.005945745,0.10854363,0.019397993,0.007905138,0.067801763,0.031924597,0.00231541
"(320, 330]",0.045022371,0.024496644,0.007084265,0.078401464,0.010738255,0.013727883,0.033862111,0.055216595,0.003355705
"(330, 340]",0.031040268,0.017114094,0.008202834,0.142464918,0.029194631,0.005796217,0.046369738,0.011897498,0.002581311
"(340, 350]",0.028985507,0.024749164,0.005945745,0.084220128,0.008361204,0.013986014,0.047734874,0.017634539,0.009776177
"(350, 360]",0.01761745,0.003691275,0.00186428,0.053081147,0.008389262,0.004881025,0.03081147,0.026845638,0.027878162
"(360, 370]",0.022575251,0.00367893,0.003344482,0.063849194,0.010702341,0.013073883,0.028676022,0.078706528,0.013939081
"(370, 380]",0.017897092,0.006040268,0.007084265,0.043624161,0.005704698,0.030506406,0.04256613,0.060200669,0.004116285
"(380, 390]",0.018456376,0.003020134,0.016778523,0.125686394,0.000671141,0.005186089,0.118059793,0.048505186,0.016520392
"(390, 400]",0.033444816,0.000334448,0.010033445,0.091821222,0.003010033,0.025539678,0.200668896,0.007297051,0.05531258
"(400, 410]",0.01901566,0.00033557,0.037658464,0.08480781,0.000671141,0.013727883,0.103111653,0.031116534,0.023231802
"(410, 420]",0.029362416,0.008724832,0.004847129,0.044539353,0.001006711,0.008541794,0.071995119,0.038743136,0.000258131
"(420, 430]",0.227982163,0.073578595,0.216648086,0.23228945,0.040802676,0.090605047,0.353602919,0.091517178,0.032415745
"(430, 440]",0.182885906,0.096979866,0.094332588,0.168090299,0.008053691,0.018608908,0.29957291,0.063758389,0.027878162
"(440, 450]",0.145693512,0.034228188,0.026099925,0.074435631,0.010402685,0.004881025,0.328553996,0.039658328,0.034073309
"(450, 460]",0.218784838,0.008361204,0.086584913,0.131346914,0.001003344,0.014594102,0.352994831,0.026147765,0.089786468
"(460, 470]",0.148489933,0.006375839,0.024981357,0.126296522,0.000671141,0.070469799,0.339231239,0.007626602,0.054207537
"(470, 480]",0.12639821,0,0.00857569,0.082977425,0.001677852,0.064978646,0.294996949,0.051860891,0.016207872
"(480, 490]",0.10367893,0.000334448,0.009661836,0.074186683,0.001672241,0.124657951,0.370629371,0.066889632,0.058079504
"(490, 500]",0.17114094,0.010402685,0.021998509,0.101891397,0.001342282,0.176327029,0.209486166,0.09729401,0.014921533
"(500, 510]",0.127090301,0.001337793,0.015235972,0.150501672,0.077926421,0.02736394,0.195546065,0.180287726,0.012906557
"(510, 520]",0.181208054,0.004362416,0.003355705,0.151311775,0.054026846,0.013117755,0.262050031,0.116144725,0.008518327
"(520, 530]",0.106823266,0.002006689,0.018269948,0.151006711,0.005033557,0.019762846,0.386211104,0.14867741,0.007975302
