Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.609060403,0.427181208,0.393918919,0.570945946,0.109797297,0.50522113,0.141516517,0.108108108,0.404310345
"(10, 20]",0.651677852,0.38590604,0.373489933,0.476510067,0.069127517,0.501830384,0.122296793,0.02852349,0.400083612
"(20, 30]",0.623825503,0.419127517,0.403691275,0.536912752,0.106711409,0.483831605,0.074944072,0.038255034,0.513003356
"(30, 40]",0.631103679,0.342140468,0.402675585,0.429431438,0.096655518,0.528428094,0.09959123,0.01638796,0.556856187
"(40, 50]",0.605033557,0.364765101,0.361409396,0.50704698,0.090604027,0.474374619,0.214392245,0.001006711,0.534395973
"(50, 60]",0.597993311,0.418120805,0.29295302,0.426755853,0.115050167,0.52173913,0.211445559,0.001672241,0.468120805
"(60, 70]",0.559395973,0.395652174,0.330434783,0.410402685,0.029865772,0.454545455,0.249813572,0,0.519648829
"(70, 80]",0.629194631,0.359060403,0.318791946,0.441275168,0.078187919,0.43471629,0.193139448,0,0.640100671
"(80, 90]",0.57993311,0.376923077,0.294983278,0.43812709,0.089966555,0.437214959,0.147900409,0.000668896,0.572567114
"(90, 100]",0.559731544,0.354026846,0.270134228,0.466442953,0.03557047,0.48200122,0.120432513,0,0.622491639
"(100, 110]",0.587919463,0.332885906,0.304026846,0.531543624,0.056711409,0.473459426,0.131245339,0.003020134,0.632130872
"(110, 120]",0.602006689,0.411705686,0.274247492,0.569899666,0.09632107,0.424749164,0.237086585,0.019397993,0.5625
"(120, 130]",0.696308725,0.54966443,0.569127517,0.544295302,0.424161074,0.51799878,0.306860552,0.068456376,0.602424749
"(130, 140]",0.64966443,0.405704698,0.494966443,0.451342282,0.291275168,0.4804759,0.24235645,0.152684564,0.622483221
"(140, 150]",0.666555184,0.461204013,0.317056856,0.539799331,0.152173913,0.453633323,0.225195095,0.138795987,0.659815436
"(150, 160]",0.691946309,0.347315436,0.336912752,0.430536913,0.101006711,0.420683344,0.175988069,0.083557047,0.665133779
"(160, 170]",0.618456376,0.44295302,0.309731544,0.369798658,0.191946309,0.388956681,0.220357942,0.139261745,0.678691275
"(170, 180]",0.548494983,0.44180602,0.255852843,0.391638796,0.243143813,0.422620857,0.166852471,0.142140468,0.592281879
"(180, 190]",0.576510067,0.431208054,0.251342282,0.465436242,0.265100671,0.399938987,0.241237882,0.111073826,0.556020067
"(190, 200]",0.494966443,0.431543624,0.247986577,0.555518395,0.18557047,0.303233679,0.220735786,0.134448161,0.593120805
"(200, 210]",0.539799331,0.364548495,0.268227425,0.467449664,0.144147157,0.352690787,0.231170768,0.105033557,0.580685619
"(210, 220]",0.524832215,0.294295302,0.253020134,0.438926174,0.113422819,0.335265406,0.222967934,0.086241611,0.566694631
"(220, 230]",0.601672241,0.368896321,0.272909699,0.240468227,0.148494983,0.311340833,0.215533259,0.104013378,0.609479866
"(230, 240]",0.603355705,0.376845638,0.263422819,0.454362416,0.163087248,0.262355095,0.271230827,0.07852349,0.609949833
"(240, 250]",0.63557047,0.309731544,0.275503356,0.456711409,0.148322148,0.329774253,0.112607557,0.072818792,0.532298658
"(250, 260]",0.590301003,0.351839465,0.27090301,0.461538462,0.115384615,0.328671329,0.087328131,0.172240803,0.453439597
"(260, 270]",0.460738255,0.390939597,0.376845638,0.473154362,0.147986577,0.26723612,0.125327348,0.098657718,0.551839465
"(270, 280]",0.460067114,0.415771812,0.331879195,0.467114094,0.120805369,0.280658938,0.205443699,0.086241611,0.681208054
"(280, 290]",0.504682274,0.376588629,0.344147157,0.466220736,0.077257525,0.259349346,0.145299145,0.093311037,0.630872483
"(290, 300]",0.618456376,0.38557047,0.31442953,0.437583893,0.092281879,0.29652227,0.075316928,0.070469799,0.570652174
"(300, 310]",0.499328859,0.47852349,0.267785235,0.440604027,0.113422819,0.303843807,0.234526473,0.108053691,0.635067114
"(310, 320]",0.522408027,0.411036789,0.303010033,0.391973244,0.09264214,0.324414716,0.163879599,0.1,0.494127517
"(320, 330]",0.476174497,0.387919463,0.327516779,0.434563758,0.089932886,0.32580842,0.241983594,0.105704698,0.655100334
"(330, 340]",0.479194631,0.408724832,0.253355705,0.453020134,0.163422819,0.307504576,0.236714976,0.12147651,0.709312081
"(340, 350]",0.450501672,0.493311037,0.298996656,0.363210702,0.164882943,0.315293402,0.186055183,0.156521739,0.654682274
"(350, 360]",0.573154362,0.476845638,0.295637584,0.361073826,0.140268456,0.284319707,0.19388516,0.151677852,0.648489933
"(360, 370]",0.538795987,0.448494983,0.227516779,0.401672241,0.103010033,0.318637884,0.165737644,0.169565217,0.554110738
"(370, 380]",0.467449664,0.368120805,0.315384615,0.463422819,0.089932886,0.336485662,0.203952274,0.143288591,0.60367893
"(380, 390]",0.533221477,0.42885906,0.279530201,0.420469799,0.101006711,0.347467968,0.134228188,0.103020134,0.516778523
"(390, 400]",0.517725753,0.429431438,0.294648829,0.394314381,0.095317726,0.319854059,0.124117428,0.089297659,0.554949664
"(400, 410]",0.502348993,0.47852349,0.230201342,0.417785235,0.041946309,0.288895668,0.14541387,0.101677852,0.52090301
"(410, 420]",0.502013423,0.377516779,0.170134228,0.420469799,0.026174497,0.34685784,0.199105145,0.109395973,0.520134228
"(420, 430]",0.583946488,0.340468227,0.269899666,0.401003344,0.04916388,0.391912435,0.335934597,0.119397993,0.596895973
"(430, 440]",0.546644295,0.43590604,0.238590604,0.462751678,0.046308725,0.340146431,0.208053691,0.118456376,0.514214047
"(440, 450]",0.651006711,0.420469799,0.17114094,0.340604027,0.076510067,0.350213545,0.243920688,0.082550336,0.658557047
"(450, 460]",0.657190635,0.469565217,0.154849498,0.255852843,0.046488294,0.30951657,0.236343367,0.089297659,0.577759197
"(460, 470]",0.539464883,0.363087248,0.109698997,0.36722408,0.082885906,0.336576467,0.196868009,0.095986622,0.597734899
"(470, 480]",0.476845638,0.368227425,0.053535354,0.33590604,0.08361204,0.317876754,0.131618195,0.06409396,0.587374582
"(480, 490]",0.496644295,0.468791946,0.009698997,0.248657718,0.089597315,0.290726052,0.166852471,0.096644295,0.557466443
"(490, 500]",0.562207358,0.47458194,0.164882943,0.298327759,0.076923077,0.330799635,0.046079524,0.087625418,0.545721477
"(500, 510]",0.489932886,0.40033557,0.127852349,0.312416107,0.080201342,0.330689445,0.065995526,0.061409396,0.409280936
"(510, 520]",0.530536913,0.309060403,0.174832215,0.302348993,0.089261745,0.323978035,0.178598061,0.072483221,0.442533557
"(520, 530]",0.571237458,0.375919732,0.165551839,0.364882943,0.062876254,0.324110672,0.203641769,0.048160535,0.370805369
