Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(550, 560]",0.708695652,0.746796827,0.822185061,0.774703557,0.777964206,0.757677106,0.699331104,0.719975676
"(560, 570]",0.77114094,0.65161684,0.801454139,0.733068944,0.75810962,0.695241001,0.741946309,0.744051251
"(570, 580]",0.795317726,0.71541502,0.787472036,0.726967663,0.804347826,0.721171446,0.752684564,0.696766321
"(580, 590]",0.816778523,0.701647346,0.768673356,0.730921253,0.814038031,0.757069018,0.724080268,0.705077531
"(590, 600]",0.793288591,0.688529591,0.770973154,0.790115924,0.771812081,0.702867602,0.790268456,0.748627212
"(600, 610]",0.788963211,0.673456978,0.761185682,0.731543624,0.794871795,0.689139719,0.790268456,0.57657108
"(610, 620]",0.77114094,0.655277608,0.79264214,0.721495895,0.783557047,0.672056132,0.748494983,0.728792946
"(620, 630]",0.731208054,0.666870043,0.749440716,0.713544844,0.752237136,0.738522347,0.700671141,0.758694326
"(630, 640]",0.703010033,0.725144421,0.762024609,0.684868822,0.731884058,0.771201952,0.761409396,0.76723612
"(640, 650]",0.779530201,0.712324588,0.743589744,0.674369109,0.769574944,0.683794466,0.751505017,0.701429006
"(650, 660]",0.72147651,0.727272727,0.723713647,0.685173887,0.782158837,0.659548505,0.708724832,0.719646126
"(660, 670]",0.727424749,0.764670112,0.698439242,0.705381575,0.747212932,0.68090299,0.736241611,0.676327029
"(670, 680]",0.794630872,0.70042709,0.663590604,0.725442343,0.753076063,0.687747036,0.722408027,0.742170873
"(680, 690]",0.78557047,0.598358164,0.65352349,0.757779134,0.747491639,0.739780354,0.706711409,0.652226968
"(690, 700]",0.723411371,0.638194021,0.707079153,0.719063545,0.746364653,0.608695652,0.588294314,0.655214351
"(700, 710]",0.691275168,0.695241001,0.678131991,0.711104332,0.776845638,0.692495424,0.694966443,0.658023185
"(710, 720]",0.720735786,0.643964731,0.671420582,0.650396583,0.754180602,0.734594265,0.716107383,0.652532032
